Дата;  1-кімнатна ; 2-кімнатна ; 3-кімнатна ; Курс долара 
19.02.16; 5 000,00 ? ; 8 035,00 ? ; 14 260,00 ? ; 26,86 ? 
20.02.16; 5 000,00 ? ; 8 040,00 ? ; 14 251,00 ? ; 26,86 ? 
21.02.16; 5 000,00 ? ; 8 044,00 ? ; 14 237,00 ? ; 26,86 ? 
22.02.16; 5 001,00 ? ; 8 049,00 ? ; 14 224,00 ? ; 27,01 ? 
23.02.16; 5 001,00 ? ; 8 053,00 ? ; 14 211,00 ? ; 27,23 ? 
24.02.16; 5 003,00 ? ; 8 058,00 ? ; 14 201,00 ? ; 27,22 ? 
25.02.16; 5 004,00 ? ; 8 063,00 ? ; 14 186,00 ? ; 27,25 ? 
26.02.16; 5 006,00 ? ; 8 065,00 ? ; 14 172,00 ? ; 27,05 ? 
27.02.16; 5 008,00 ? ; 8 065,00 ? ; 14 153,00 ? ; 27,05 ? 
28.02.16; 5 010,00 ? ; 8 065,00 ? ; 14 131,00 ? ; 27,05 ? 
29.02.16; 5 012,00 ? ; 8 063,00 ? ; 14 107,00 ? ; 27,09 ? 
01.03.16; 5 013,00 ? ; 8 060,00 ? ; 14 080,00 ? ; 27,09 ? 
02.03.16; 5 015,00 ? ; 8 058,00 ? ; 14 051,00 ? ; 26,81 ? 
03.03.16; 5 017,00 ? ; 8 055,00 ? ; 14 024,00 ? ; 26,21 ? 
04.03.16; 5 019,00 ? ; 8 052,00 ? ; 13 997,00 ? ; 26,50 ? 
05.03.16; 5 021,00 ? ; 8 049,00 ? ; 13 974,00 ? ; 26,50 ? 
06.03.16; 5 023,00 ? ; 8 046,00 ? ; 13 953,00 ? ; 26,50 ? 
07.03.16; 5 026,00 ? ; 8 043,00 ? ; 13 936,00 ? ; 26,50 ? 
08.03.16; 5 028,00 ? ; 8 041,00 ? ; 13 918,00 ? ; 26,50 ? 
09.03.16; 5 029,00 ? ; 8 038,00 ? ; 13 899,00 ? ; 26,18 ? 
10.03.16; 5 030,00 ? ; 8 032,00 ? ; 13 878,00 ? ; 25,52 ? 
11.03.16; 5 030,00 ? ; 8 027,00 ? ; 13 857,00 ? ; 25,85 ? 
12.03.16; 5 030,00 ? ; 8 023,00 ? ; 13 836,00 ? ; 26,02 ? 
13.03.16; 5 031,00 ? ; 8 020,00 ? ; 13 819,00 ? ; 26,02 ? 
14.03.16; 5 033,00 ? ; 8 018,00 ? ; 13 805,00 ? ; 26,52 ? 
15.03.16; 5 036,00 ? ; 8 016,00 ? ; 13 794,00 ? ; 26,89 ? 
16.03.16; 5 039,00 ? ; 8 015,00 ? ; 13 789,00 ? ; 26,84 ? 
17.03.16; 5 044,00 ? ; 8 014,00 ? ; 13 786,00 ? ; 26,70 ? 
18.03.16; 5 049,00 ? ; 8 012,00 ? ; 13 784,00 ? ; 26,24 ? 
19.03.16; 5 055,00 ? ; 8 011,00 ? ; 13 783,00 ? ; 26,24 ? 
20.03.16; 5 060,00 ? ; 8 010,00 ? ; 13 779,00 ? ; 26,24 ? 
21.03.16; 5 064,00 ? ; 8 009,00 ? ; 13 771,00 ? ; 26,60 ? 
22.03.16; 5 068,00 ? ; 8 008,00 ? ; 13 760,00 ? ; 26,10 ? 
23.03.16; 5 071,00 ? ; 8 007,00 ? ; 13 747,00 ? ; 26,02 ? 
24.03.16; 5 075,00 ? ; 8 005,00 ? ; 13 736,00 ? ; 26,25 ? 
25.03.16; 5 079,00 ? ; 8 005,00 ? ; 13 726,00 ? ; 26,07 ? 
26.03.16; 5 084,00 ? ; 8 005,00 ? ; 13 715,00 ? ; 26,07 ? 
27.03.16; 5 087,00 ? ; 8 006,00 ? ; 13 701,00 ? ; 26,07 ? 
28.03.16; 5 089,00 ? ; 8 006,00 ? ; 13 681,00 ? ; 26,28 ? 
29.03.16; 5 089,00 ? ; 8 006,00 ? ; 13 656,00 ? ; 26,44 ? 
30.03.16; 5 087,00 ? ; 8 006,00 ? ; 13 627,00 ? ; 26,22 ? 
31.03.16; 5 083,00 ? ; 8 005,00 ? ; 13 591,00 ? ; 26,22 ? 
01.04.16; 5 077,00 ? ; 8 005,00 ? ; 13 552,00 ? ; 26,11 ? 
02.04.16; 5 071,00 ? ; 8 004,00 ? ; 13 512,00 ? ; 26,11 ? 
03.04.16; 5 064,00 ? ; 8 004,00 ? ; 13 470,00 ? ; 26,11 ? 
04.04.16; 5 056,00 ? ; 8 003,00 ? ; 13 429,00 ? ; 25,99 ? 
05.04.16; 5 051,00 ? ; 8 004,00 ? ; 13 392,00 ? ; 26,08 ? 
06.04.16; 5 047,00 ? ; 8 006,00 ? ; 13 360,00 ? ; 25,96 ? 
07.04.16; 5 044,00 ? ; 8 009,00 ? ; 13 329,00 ? ; 25,80 ? 
08.04.16; 5 043,00 ? ; 8 012,00 ? ; 13 296,00 ? ; 25,63 ? 
09.04.16; 5 043,00 ? ; 8 017,00 ? ; 13 264,00 ? ; 25,63 ? 
10.04.16; 5 044,00 ? ; 8 024,00 ? ; 13 234,00 ? ; 25,63 ? 
11.04.16; 5 047,00 ? ; 8 033,00 ? ; 13 209,00 ? ; 25,57 ? 
12.04.16; 5 052,00 ? ; 8 043,00 ? ; 13 190,00 ? ; 25,55 ? 
13.04.16; 5 059,00 ? ; 8 056,00 ? ; 13 178,00 ? ; 25,48 ? 
14.04.16; 5 069,00 ? ; 8 070,00 ? ; 13 171,00 ? ; 25,65 ? 
15.04.16;;;; 25,48 ? 
16.04.16; 5 081,00 ? ; 8 085,00 ? ; 13 170,00 ? ; 25,48 ? 
17.04.16; 5 095,00 ? ; 8 102,00 ? ; 13 172,00 ? ; 25,48 ? 
18.04.16; 5 111,00 ? ; 8 119,00 ? ; 13 176,00 ? ; 25,48 ? 
19.04.16; 5 130,00 ? ; 8 137,00 ? ; 13 180,00 ? ;  
20.04.16; 5 150,00 ? ; 8 157,00 ? ; 13 185,00 ? ;  
21.04.16; 5 171,00 ? ; 8 174,00 ? ; 13 186,00 ? ; 25,37 ? 
22.04.16; 5 191,00 ? ; 8 189,00 ? ; 13 184,00 ? ; 25,34 ? 
23.04.16; 5 210,00 ? ; 8 203,00 ? ; 13 180,00 ? ; 25,34 ? 
24.04.16; 5 229,00 ? ; 8 215,00 ? ; 13 179,00 ? ; 25,34 ? 
25.04.16; 5 246,00 ? ; 8 225,00 ? ; 13 178,00 ? ; 25,34 ? 
26.04.16; 5 263,00 ? ; 8 231,00 ? ; 13 177,00 ? ; 25,30 ? 
27.04.16; 5 278,00 ? ; 8 232,00 ? ; 13 174,00 ? ; 25,22 ? 
28.04.16; 5 292,00 ? ; 8 229,00 ? ; 13 167,00 ? ; 25,19 ? 
29.04.16; 5 305,00 ? ; 8 223,00 ? ; 13 158,00 ? ; 25,20 ? 
30.04.16; 5 318,00 ? ; 8 214,00 ? ; 13 149,00 ? ; 25,20 ? 
01.05.16; 5 329,00 ? ; 8 202,00 ? ; 13 136,00 ? ; 25,20 ? 
02.05.16; 5 341,00 ? ; 8 189,00 ? ; 13 122,00 ? ; 25,20 ? 
03.05.16; 5 351,00 ? ; 8 173,00 ? ; 13 109,00 ? ; 25,20 ? 
04.05.16; 5 360,00 ? ; 8 154,00 ? ; 13 096,00 ? ; 25,20 ? 
05.05.16; 5 366,00 ? ; 8 132,00 ? ; 13 087,00 ? ; 25,12 ? 
06.05.16; 5 371,00 ? ; 8 111,00 ? ; 13 079,00 ? ; 25,16 ? 
07.05.16; 5 376,00 ? ; 8 092,00 ? ; 13 074,00 ? ; 25,16 ? 
08.05.16; 5 379,00 ? ; 8 072,00 ? ; 13 071,00 ? ; 25,16 ? 
09.05.16; 5 381,00 ? ; 8 052,00 ? ; 13 068,00 ? ; 25,16 ? 
10.05.16; 5 383,00 ? ; 8 034,00 ? ; 13 065,00 ? ; 25,20 ? 
11.05.16; 5 384,00 ? ; 8 017,00 ? ; 13 062,00 ? ; 25,33 ? 
12.05.16; 5 384,00 ? ; 8 004,00 ? ; 13 061,00 ? ; 25,31 ? 
