Дата;  1-кімнатна ; 2-кімнатна ; 3-кімнатна ; Курс долара 
21.08.20; 9 827,00 ? ; 12 370,00 ? ; 15 023,00 ? ; 27,48 ? 
22.08.20; 9 854,00 ? ; 12 395,00 ? ; 15 030,00 ? ; 27,48 ? 
23.08.20; 9 878,00 ? ; 12 420,00 ? ; 15 041,00 ? ; 27,48 ? 
24.08.20; 9 900,00 ? ; 12 448,00 ? ; 15 057,00 ? ; 27,48 ? 
25.08.20; 9 920,00 ? ; 12 475,00 ? ; 15 079,00 ? ; 27,39 ? 
26.08.20; 9 937,00 ? ; 12 503,00 ? ; 15 107,00 ? ; 27,44 ? 
27.08.20; 9 952,00 ? ; 12 530,00 ? ; 15 139,00 ? ; 27,39 ? 
28.08.20; 9 965,00 ? ; 12 560,00 ? ; 15 176,00 ? ; 27,46 ? 
29.08.20; 9 976,00 ? ; 12 590,00 ? ; 15 217,00 ? ; 27,46 ? 
30.08.20; 9 985,00 ? ; 12 619,00 ? ; 15 262,00 ? ; 27,46 ? 
31.08.20; 9 992,00 ? ; 12 649,00 ? ; 15 312,00 ? ; 27,48 ? 
01.09.20; 9 998,00 ? ; 12 681,00 ? ; 15 364,00 ? ; 27,56 ? 
02.09.20; 10 006,00 ? ; 12 712,00 ? ; 15 421,00 ? ; 27,60 ? 
03.09.20; 10 014,00 ? ; 12 741,00 ? ; 15 484,00 ? ; 27,64 ? 
04.09.20; 10 022,00 ? ; 12 770,00 ? ; 15 549,00 ? ; 27,69 ? 
05.09.20; 10 029,00 ? ; 12 800,00 ? ; 15 614,00 ? ; 27,69 ? 
06.09.20; 10 037,00 ? ; 12 828,00 ? ; 15 674,00 ? ; 27,69 ? 
07.09.20; 10 044,00 ? ; 12 854,00 ? ; 15 730,00 ? ; 27,73 ? 
08.09.20; 10 052,00 ? ; 12 878,00 ? ; 15 782,00 ? ; 27,75 ? 
09.09.20; 10 059,00 ? ; 12 900,00 ? ; 15 829,00 ? ; 27,80 ? 
10.09.20; 10 067,00 ? ; 12 919,00 ? ; 15 871,00 ? ; 27,83 ? 
11.09.20; 10 075,00 ? ; 12 936,00 ? ; 15 909,00 ? ; 27,83 ? 
12.09.20; 10 084,00 ? ; 12 951,00 ? ; 15 942,00 ? ; 27,83 ? 
13.09.20; 10 094,00 ? ; 12 963,00 ? ; 15 970,00 ? ; 27,83 ? 
14.09.20; 10 104,00 ? ; 12 974,00 ? ; 15 995,00 ? ; 27,90 ? 
15.09.20; 10 114,00 ? ; 12 982,00 ? ; 16 018,00 ? ; 28 
16.09.20; 10 120,00 ? ; 12 988,00 ? ; 16 038,00 ? ; 28,06 ? 
17.09.20; 10 122,00 ? ; 12 992,00 ? ; 16 054,00 ? ; 28,12 ? 
18.09.20;;;; 28,11 ? 
19.09.20; 10 121,00 ? ; 12 995,00 ? ; 16 064,00 ? ; 28,11 ? 
20.09.20; 10 121,00 ? ; 12 997,00 ? ; 16 073,00 ? ; 28,11 ? 
21.09.20; 10 121,00 ? ; 12 997,00 ? ; 16 084,00 ? ; 28,17 ? 
22.09.20; 10 123,00 ? ; 12 997,00 ? ; 16 100,00 ? ; 28,20 ? 
23.09.20; 10 125,00 ? ; 12 997,00 ? ; 16 119,00 ? ; 28,21 ? 
24.09.20; 10 127,00 ? ; 12 998,00 ? ; 16 144,00 ? ; 28,19 ? 
25.09.20; 10 128,00 ? ; 12 998,00 ? ; 16 172,00 ? ; 28,25 ? 
26.09.20; 10 130,00 ? ; 12 998,00 ? ; 16 205,00 ? ; 28,25 ? 
27.09.20; 10 131,00 ? ; 12 998,00 ? ; 16 244,00 ? ; 28,25 ? 
28.09.20; 10 129,00 ? ; 12 998,00 ? ; 16 287,00 ? ; 28,27 ? 
29.09.20; 10 125,00 ? ; 12 999,00 ? ; 16 335,00 ? ; 28,31 ? 
30.09.20; 10 122,00 ? ; 13 003,00 ? ; 16 385,00 ? ; 28,30 ? 
01.10.20; 10 118,00 ? ; 13 007,00 ? ; 16 435,00 ? ; 28,31 ? 
02.10.20;;;; 28,33 ? 
03.10.20; 10 116,00 ? ; 13 013,00 ? ; 16 490,00 ? ; 28,33 ? 
04.10.20; 10 114,00 ? ; 13 022,00 ? ; 16 546,00 ? ; 28,33 ? 
05.10.20; 10 113,00 ? ; 13 031,00 ? ; 16 605,00 ? ; 28,34 ? 
06.10.20; 10 110,00 ? ; 13 041,00 ? ; 16 659,00 ? ; 28,40 ? 
07.10.20; 10 103,00 ? ; 13 050,00 ? ; 16 705,00 ? ; 28,36 ? 
08.10.20; 10 093,00 ? ; 13 059,00 ? ; 16 745,00 ? ; 28,32 ? 
09.10.20; 10 084,00 ? ; 13 068,00 ? ; 16 775,00 ? ; 28,28 ? 
10.10.20; 10 075,00 ? ; 13 077,00 ? ; 16 797,00 ? ; 28,28 ? 
11.10.20; 10 065,00 ? ; 13 086,00 ? ; 16 811,00 ? ; 28,28 ? 
12.10.20; 10 056,00 ? ; 13 095,00 ? ; 16 815,00 ? ; 28,21 ? 
13.10.20; 10 047,00 ? ; 13 104,00 ? ; 16 812,00 ? ; 28,25 ? 
14.10.20;;;; 28,25 ? 
15.10.20; 10 040,00 ? ; 13 113,00 ? ; 16 799,00 ? ; 28,32 ? 
16.10.20; 10 032,00 ? ; 13 120,00 ? ; 16 778,00 ? ; 28,34 ? 
17.10.20;;;; 28,34 ? 
18.10.20; 10 023,00 ? ; 13 123,00 ? ; 16 749,00 ? ; 28,34 ? 
19.10.20; 10 011,00 ? ; 13 122,00 ? ; 16 712,00 ? ; 28,36 ? 
20.10.20; 10 000,00 ? ; 13 114,00 ? ; 16 664,00 ? ; 28,38 ? 
21.10.20; 9 988,00 ? ; 13 100,00 ? ; 16 606,00 ? ; 28,37 ? 
22.10.20; 9 977,00 ? ; 13 086,00 ? ; 16 539,00 ? ; 28,27 ? 
23.10.20; 9 966,00 ? ; 13 071,00 ? ; 16 468,00 ? ; 28,26 ? 
24.10.20; 9 955,00 ? ; 13 055,00 ? ; 16 398,00 ? ; 28,26 ? 
25.10.20; 9 943,00 ? ; 13 037,00 ? ; 16 323,00 ? ; 28,26 ? 
26.10.20; 9 929,00 ? ; 13 018,00 ? ; 16 249,00 ? ; 28,29 ? 
27.10.20; 9 913,00 ? ; 12 998,00 ? ; 16 178,00 ? ; 28,34 ? 
28.10.20; 9 895,00 ? ; 12 977,00 ? ; 16 111,00 ? ; 28,37 ? 
29.10.20; 9 876,00 ? ; 12 957,00 ? ; 16 047,00 ? ; 28,40 ? 
30.10.20; 9 858,00 ? ; 12 936,00 ? ; 15 986,00 ? ; 28,44 ? 
31.10.20; 9 837,00 ? ; 12 916,00 ? ; 15 932,00 ? ; 28,44 ? 
01.11.20; 9 817,00 ? ; 12 896,00 ? ; 15 884,00 ? ; 28,44 ? 
02.11.20; 9 801,00 ? ; 12 879,00 ? ; 15 842,00 ? ; 28,45 ? 
03.11.20; 9 787,00 ? ; 12 866,00 ? ; 15 809,00 ? ; 28,58 ? 
04.11.20; 9 776,00 ? ; 12 857,00 ? ; 15 788,00 ? ; 28,60 ? 
05.11.20; 9 766,00 ? ; 12 850,00 ? ; 15 777,00 ? ; 28,51 ? 
06.11.20; 9 756,00 ? ; 12 842,00 ? ; 15 777,00 ? ; 28,36 ? 
07.11.20; 9 748,00 ? ; 12 832,00 ? ; 15 785,00 ? ; 28,36 ? 
08.11.20; 9 744,00 ? ; 12 822,00 ? ; 15 800,00 ? ; 28,36 ? 
09.11.20; 9 745,00 ? ; 12 813,00 ? ; 15 825,00 ? ; 28,14 ? 
10.11.20; 9 750,00 ? ; 12 805,00 ? ; 15 861,00 ? ; 28,11 ? 
11.11.20; 9 760,00 ? ; 12 793,00 ? ; 15 901,00 ? ; 28,12 ? 
12.11.20; 9 772,00 ? ; 12 777,00 ? ; 15 944,00 ? ; 28,16 ? 
13.11.20; 9 784,00 ? ; 12 757,00 ? ; 15 987,00 ? ; 28,20 ? 
14.11.20; 9 798,00 ? ; 12 733,00 ? ; 16 030,00 ? ; 28,20 ? 
15.11.20; 9 815,00 ? ; 12 704,00 ? ; 16 069,00 ? ; 28,20 ? 
16.11.20; 9 832,00 ? ; 12 670,00 ? ; 16 103,00 ? ; 28,12 ? 
17.11.20; 9 847,00 ? ; 12 632,00 ? ; 16 137,00 ? ; 28,11 ? 
18.11.20; 9 859,00 ? ; 12 590,00 ? ; 16 165,00 ? ; 28,11 ? 
19.11.20; 9 870,00 ? ; 12 546,00 ? ; 16 188,00 ? ; 28,13 ? 
20.11.20; 9 880,00 ? ; 12 500,00 ? ; 16 205,00 ? ; 28,26 ? 
21.11.20; 9 890,00 ? ; 12 454,00 ? ; 16 215,00 ? ; 28,26 ? 
22.11.20; 9 898,00 ? ; 12 409,00 ? ; 16 223,00 ? ; 28,26 ? 
23.11.20; 9 903,00 ? ; 12 362,00 ? ; 16 228,00 ? ; 28,36 ? 
24.11.20; 9 907,00 ? ; 12 315,00 ? ; 16 231,00 ? ; 28,37 ? 
25.11.20; 9 908,00 ? ; 12 270,00 ? ; 16 226,00 ? ; 28,37 ? 
26.11.20; 9 906,00 ? ; 12 232,00 ? ; 16 220,00 ? ; 28,38 ? 
27.11.20; 9 901,00 ? ; 12 201,00 ? ; 16 208,00 ? ; 28,44 ? 
28.11.20; 9 894,00 ? ; 12 176,00 ? ; 16 199,00 ? ; 28,44 ? 
29.11.20; 9 887,00 ? ; 12 157,00 ? ; 16 193,00 ? ; 28,44 ? 
30.11.20; 9 877,00 ? ; 12 145,00 ? ; 16 190,00 ? ; 28,47 ? 
01.12.20; 9 867,00 ? ; 12 140,00 ? ; 16 193,00 ? ; 28,50 ? 
02.12.20; 9 860,00 ? ; 12 142,00 ? ; 16 193,00 ? ; 28,56 ? 
03.12.20; 9 855,00 ? ; 12 149,00 ? ; 16 195,00 ? ; 28,44 ? 
04.12.20; 9 849,00 ? ; 12 158,00 ? ; 16 195,00 ? ; 28,30 ? 
05.12.20; 9 844,00 ? ; 12 170,00 ? ; 16 197,00 ? ; 28,30 ? 
06.12.20;;;; 28,30 ? 
07.12.20; 9 840,00 ? ; 12 183,00 ? ; 16 202,00 ? ; 28,29 ? 
08.12.20; 9 837,00 ? ; 12 199,00 ? ; 16 206,00 ? ; 28,24 ? 
09.12.20; 9 834,00 ? ; 12 217,00 ? ; 16 209,00 ? ; 28,08 ? 
10.12.20; 9 831,00 ? ; 12 235,00 ? ; 16 209,00 ? ; 28,04 ? 
11.12.20; 9 826,00 ? ; 12 250,00 ? ; 16 207,00 ? ; 28,08 ? 
12.12.20; 9 822,00 ? ; 12 261,00 ? ; 16 204,00 ? ; 28,08 ? 
13.12.20; 9 820,00 ? ; 12 267,00 ? ; 16 204,00 ? ; 28,08 ? 
14.12.20; 9 823,00 ? ; 12 270,00 ? ; 16 199,00 ? ; 27,97 ? 
15.12.20; 9 825,00 ? ; 12 268,00 ? ; 16 189,00 ? ; 27,87 ? 
16.12.20; 9 829,00 ? ; 12 262,00 ? ; 16 175,00 ? ; 27,76 ? 
17.12.20; 9 834,00 ? ; 12 251,00 ? ; 16 157,00 ? ; 27,74 ? 
18.12.20; 9 839,00 ? ; 12 237,00 ? ; 16 140,00 ? ; 27,82 ? 
19.12.20; 9 845,00 ? ; 12 217,00 ? ; 16 124,00 ? ; 27,82 ? 
20.12.20; 9 850,00 ? ; 12 198,00 ? ; 16 110,00 ? ; 27,82 ? 
21.12.20; 9 855,00 ? ; 12 179,00 ? ; 16 095,00 ? ; 27,83 ? 
22.12.20; 9 857,00 ? ; 12 160,00 ? ; 16 081,00 ? ; 28,04 ? 
23.12.20; 9 856,00 ? ; 12 141,00 ? ; 16 067,00 ? ; 28,25 ? 
24.12.20; 9 855,00 ? ; 12 122,00 ? ; 16 053,00 ? ; 28,46 ? 
25.12.20; 9 854,00 ? ; 12 104,00 ? ; 16 041,00 ? ; 28,46 ? 
26.12.20; 9 857,00 ? ; 12 088,00 ? ; 16 031,00 ? ; 28,46 ? 
27.12.20; 9 861,00 ? ; 12 073,00 ? ; 16 022,00 ? ; 28,46 ? 
28.12.20; 9 863,00 ? ; 12 060,00 ? ; 16 013,00 ? ; 28,35 ? 
29.12.20; 9 860,00 ? ; 12 048,00 ? ; 16 007,00 ? ; 28,37 ? 
30.12.20; 9 856,00 ? ; 12 038,00 ? ; 16 002,00 ? ; 28,26 ? 
31.12.20; 9 849,00 ? ; 12 030,00 ? ; 16 000,00 ? ; 28,27 ? 
01.01.21; 9 838,00 ? ; 12 024,00 ? ; 16 000,00 ? ; 28,27 ? 
02.01.21; 9 822,00 ? ; 12 021,00 ? ; 16 000,00 ? ; 28,27 ? 
03.01.21; 9 804,00 ? ; 12 020,00 ? ; 16 000,00 ? ; 28,27 ? 
04.01.21; 9 781,00 ? ; 12 018,00 ? ; 16 000,00 ? ; 28,27 ? 
05.01.21; 9 755,00 ? ; 12 016,00 ? ; 16 000,00 ? ; 28,43 ? 
06.01.21; 9 729,00 ? ; 12 014,00 ? ; 16 000,00 ? ; 28,40 ? 
07.01.21; 9 704,00 ? ; 12 011,00 ? ; 16 000,00 ? ; 28,40 ? 
08.01.21; 9 678,00 ? ; 12 009,00 ? ; 16 000,00 ? ; 28,40 ? 
09.01.21; 9 650,00 ? ; 12 007,00 ? ; 16 000,00 ? ; 28,40 ? 
10.01.21; 9 617,00 ? ; 12 006,00 ? ; 15 999,00 ? ; 28,40 ? 
11.01.21; 9 584,00 ? ; 12 004,00 ? ; 15 996,00 ? ; 28,28 ? 
12.01.21; 9 553,00 ? ; 12 003,00 ? ; 15 988,00 ? ; 28,20 ? 
13.01.21; 9 523,00 ? ; 12 002,00 ? ; 15 976,00 ? ; 28,05 ? 
14.01.21; 9 496,00 ? ; 12 002,00 ? ; 15 959,00 ? ; 27,97 ? 
15.01.21; 9 470,00 ? ; 12 001,00 ? ; 15 937,00 ? ; 28,06 ? 
16.01.21; 9 450,00 ? ; 12 001,00 ? ; 15 908,00 ? ; 28,05 ? 
17.01.21; 9 432,00 ? ; 12 001,00 ? ; 15 873,00 ? ; 28,05 ? 
18.01.21; 9 417,00 ? ; 12 000,00 ? ; 15 829,00 ? ; 28,05 ? 
19.01.21; 9 409,00 ? ; 11 998,00 ? ; 15 776,00 ? ; 28,19 ? 
20.01.21; 9 406,00 ? ; 11 993,00 ? ; 15 715,00 ? ; 28,15 ? 
21.01.21; 9 408,00 ? ; 11 987,00 ? ; 15 644,00 ? ; 28,20 ? 
22.01.21; 9 411,00 ? ; 11 978,00 ? ; 15 565,00 ? ; 28,26 ? 
23.01.21; 9 415,00 ? ; 11 967,00 ? ; 15 477,00 ? ; 28,26 ? 
24.01.21; 9 421,00 ? ; 11 953,00 ? ; 15 380,00 ? ; 28,26 ? 
25.01.21; 9 429,00 ? ; 11 938,00 ? ; 15 278,00 ? ; 28,16 ? 
26.01.21; 9 436,00 ? ; 11 921,00 ? ; 15 176,00 ? ; 28,17 ? 
27.01.21; 9 442,00 ? ; 11 903,00 ? ; 15 078,00 ? ; 28,15 ? 
28.01.21; 9 448,00 ? ; 11 884,00 ? ; 14 983,00 ? ; 28,17 ? 
29.01.21; 9 454,00 ? ; 11 862,00 ? ; 14 892,00 ? ; 28,19 ? 
30.01.21; 9 459,00 ? ; 11 836,00 ? ; 14 806,00 ? ; 28,19 ? 
31.01.21; 9 462,00 ? ; 11 809,00 ? ; 14 726,00 ? ; 28,19 ? 
01.02.21; 9 465,00 ? ; 11 779,00 ? ; 14 653,00 ? ; 28,13 ? 
02.02.21; 9 468,00 ? ; 11 747,00 ? ; 14 590,00 ? ; 28,06 ? 
03.02.21; 9 469,00 ? ; 11 718,00 ? ; 14 535,00 ? ; 28,06 ? 
04.02.21; 9 466,00 ? ; 11 694,00 ? ; 14 493,00 ? ; 28 
05.02.21; 9 460,00 ? ; 11 674,00 ? ; 14 461,00 ? ; 27,89 ? 
06.02.21; 9 454,00 ? ; 11 659,00 ? ; 14 438,00 ? ; 27,89 ? 
07.02.21; 9 448,00 ? ; 11 648,00 ? ; 14 426,00 ? ; 27,89 ? 
08.02.21; 9 440,00 ? ; 11 642,00 ? ; 14 425,00 ? ; 27,77 ? 
09.02.21; 9 434,00 ? ; 11 640,00 ? ; 14 432,00 ? ; 27,67 ? 
10.02.21; 9 430,00 ? ; 11 640,00 ? ; 14 443,00 ? ; 27,64 ? 
11.02.21; 9 427,00 ? ; 11 642,00 ? ; 14 455,00 ? ; 27,77 ? 
12.02.21; 9 424,00 ? ; 11 649,00 ? ; 14 467,00 ? ; 27,84 ? 
13.02.21; 9 421,00 ? ; 11 660,00 ? ; 14 483,00 ? ; 27,84 ? 
14.02.21; 9 420,00 ? ; 11 677,00 ? ; 14 500,00 ? ; 27,84 ? 
15.02.21; 9 419,00 ? ; 11 699,00 ? ; 14 519,00 ? ; 27,84 ? 
16.02.21; 9 418,00 ? ; 11 726,00 ? ; 14 541,00 ? ; 27,97 ? 
17.02.21; 9 418,00 ? ; 11 756,00 ? ; 14 567,00 ? ; 27,83 ? 
18.02.21; 9 418,00 ? ; 11 787,00 ? ; 14 594,00 ? ; 27,90 ? 
19.02.21; 9 421,00 ? ; 11 816,00 ? ; 14 620,00 ? ; 27,85 ? 
20.02.21; 9 424,00 ? ; 11 842,00 ? ; 14 647,00 ? ; 27,85 ? 
21.02.21; 9 428,00 ? ; 11 867,00 ? ; 14 678,00 ? ; 27,85 ? 
22.02.21; 9 432,00 ? ; 11 889,00 ? ; 14 709,00 ? ; 27,85 ? 
23.02.21; 9 440,00 ? ; 11 908,00 ? ; 14 740,00 ? ; 27,93 ? 
24.02.21; 9 447,00 ? ; 11 928,00 ? ; 14 769,00 ? ; 27,90 ? 
25.02.21; 9 454,00 ? ; 11 947,00 ? ; 14 797,00 ? ; 27,95 ? 
26.02.21; 9 459,00 ? ; 11 964,00 ? ; 14 825,00 ? ; 27,93 ? 
27.02.21; 9 465,00 ? ; 11 980,00 ? ; 14 853,00 ? ; 27,93 ? 
28.02.21; 9 470,00 ? ; 11 993,00 ? ; 14 878,00 ? ; 27,93 ? 
01.03.21; 9 475,00 ? ; 12 004,00 ? ; 14 902,00 ? ; 27,95 ? 
02.03.21; 9 480,00 ? ; 12 015,00 ? ; 14 924,00 ? ; 28 
03.03.21; 9 485,00 ? ; 12 026,00 ? ; 14 944,00 ? ; 27,93 ? 
04.03.21; 9 489,00 ? ; 12 037,00 ? ; 14 962,00 ? ; 27,85 ? 
05.03.21; 9 494,00 ? ; 12 050,00 ? ; 14 982,00 ? ; 27,76 ? 
06.03.21; 9 499,00 ? ; 12 066,00 ? ; 15 004,00 ? ; 27,76 ? 
07.03.21; 9 504,00 ? ; 12 085,00 ? ; 15 028,00 ? ; 27,76 ? 
08.03.21; 9 508,00 ? ; 12 108,00 ? ; 15 052,00 ? ; 27,76 ? 
09.03.21; 9 512,00 ? ; 12 134,00 ? ; 15 079,00 ? ; 27,71 ? 
10.03.21; 9 516,00 ? ; 12 164,00 ? ; 15 107,00 ? ; 27,74 ? 
11.03.21; 9 520,00 ? ; 12 194,00 ? ; 15 140,00 ? ; 27,70 ? 
12.03.21; 9 523,00 ? ; 12 228,00 ? ; 15 178,00 ? ; 27,75 ? 
13.03.21; 9 527,00 ? ; 12 267,00 ? ; 15 220,00 ? ; 27,75 ? 
14.03.21; 9 530,00 ? ; 12 310,00 ? ; 15 266,00 ? ; 27,75 ? 
15.03.21; 9 534,00 ? ; 12 358,00 ? ; 15 317,00 ? ; 27,73 ? 
16.03.21; 9 535,00 ? ; 12 408,00 ? ; 15 373,00 ? ; 27,64 ? 
17.03.21; 9 536,00 ? ; 12 458,00 ? ; 15 433,00 ? ; 27,65 ? 
18.03.21; 9 538,00 ? ; 12 508,00 ? ; 15 497,00 ? ; 27,70 ? 
19.03.21; 9 539,00 ? ; 12 558,00 ? ; 15 561,00 ? ; 27,68 ? 
20.03.21; 9 538,00 ? ; 12 608,00 ? ; 15 622,00 ? ; 27,68 ? 
21.03.21; 9 532,00 ? ; 12 654,00 ? ; 15 677,00 ? ; 27,68 ? 
22.03.21; 9 523,00 ? ; 12 700,00 ? ; 15 729,00 ? ; 27,72 ? 
23.03.21; 9 513,00 ? ; 12 741,00 ? ; 15 779,00 ? ; 27,69 ? 
24.03.21; 9 500,00 ? ; 12 782,00 ? ; 15 825,00 ? ; 27,73 ? 
25.03.21; 9 482,00 ? ; 12 819,00 ? ; 15 866,00 ? ; 27,87 ? 
26.03.21; 9 462,00 ? ; 12 854,00 ? ; 15 903,00 ? ; 27,97 ? 
27.03.21; 9 440,00 ? ; 12 884,00 ? ; 15 936,00 ? ; 27,97 ? 
28.03.21; 9 416,00 ? ; 12 908,00 ? ; 15 965,00 ? ; 27,97 ? 
29.03.21; 9 389,00 ? ; 12 926,00 ? ; 15 991,00 ? ; 27,97 ? 
30.03.21; 9 361,00 ? ; 12 937,00 ? ; 16 012,00 ? ; 27,97 ? 
31.03.21; 9 334,00 ? ; 12 943,00 ? ; 16 029,00 ? ; 27,89 ? 
01.04.21; 9 305,00 ? ; 12 945,00 ? ; 16 044,00 ? ; 27,82 ? 
02.04.21; 9 274,00 ? ; 12 943,00 ? ; 16 054,00 ? ; 27,83 ? 
03.04.21; 9 241,00 ? ; 12 936,00 ? ; 16 063,00 ? ; 27,83 ? 
04.04.21; 9 208,00 ? ; 12 924,00 ? ; 16 073,00 ? ; 27,83 ? 
05.04.21; 9 178,00 ? ; 12 911,00 ? ; 16 084,00 ? ; 27,96 ? 
06.04.21; 9 151,00 ? ; 12 893,00 ? ; 16 094,00 ? ; 27,94 ? 
07.04.21; 9 126,00 ? ; 12 872,00 ? ; 16 099,00 ? ; 27,84 ? 
08.04.21; 9 103,00 ? ; 12 847,00 ? ; 16 104,00 ? ; 27,89 ? 
09.04.21; 9 083,00 ? ; 12 820,00 ? ; 16 109,00 ? ; 27,98 ? 
10.04.21; 9 069,00 ? ; 12 791,00 ? ; 16 115,00 ? ; 27,98 ? 
11.04.21; 9 060,00 ? ; 12 760,00 ? ; 16 125,00 ? ; 27,98 ? 
12.04.21; 9 058,00 ? ; 12 729,00 ? ; 16 136,00 ? ; 27,91 ? 
13.04.21; 9 063,00 ? ; 12 700,00 ? ; 16 145,00 ? ; 27,93 ? 
14.04.21; 9 075,00 ? ; 12 673,00 ? ; 16 153,00 ? ; 28,02 ? 
15.04.21; 9 090,00 ? ; 12 649,00 ? ; 16 160,00 ? ; 27,98 ? 
16.04.21;;;; 27,96 ? 
17.04.21; 9 113,00 ? ; 12 630,00 ? ; 16 165,00 ? ; 27,96 ? 
18.04.21; 9 142,00 ? ; 12 615,00 ? ; 16 169,00 ? ; 27,96 ? 
19.04.21; 9 177,00 ? ; 12 602,00 ? ; 16 172,00 ? ; 27,98 ? 
20.04.21; 9 218,00 ? ; 12 592,00 ? ; 16 170,00 ? ; 28,01 ? 
21.04.21; 9 261,00 ? ; 12 586,00 ? ; 16 168,00 ? ; 28,01 ? 
22.04.21; 9 309,00 ? ; 12 583,00 ? ; 16 166,00 ? ; 28,06 ? 
23.04.21; 9 361,00 ? ; 12 584,00 ? ; 16 164,00 ? ; 28,06 ? 
24.04.21; 9 416,00 ? ; 12 589,00 ? ; 16 162,00 ? ; 28,06 ? 
25.04.21; 9 475,00 ? ; 12 597,00 ? ; 16 160,00 ? ; 28,06 ? 
26.04.21; 9 533,00 ? ; 12 611,00 ? ; 16 154,00 ? ; 27,90 ? 
27.04.21; 9 586,00 ? ; 12 631,00 ? ; 16 140,00 ? ; 27,86 ? 
28.04.21; 9 634,00 ? ; 12 654,00 ? ; 16 124,00 ? ; 27,77 ? 
29.04.21;;;; 27,79 ? 
30.04.21; 9 677,00 ? ; 12 679,00 ? ; 16 107,00 ? ; 27,75 ? 
01.05.21; 9 715,00 ? ; 12 707,00 ? ; 16 091,00 ? ; 27,75 ? 
02.05.21; 9 746,00 ? ; 12 733,00 ? ; 16 075,00 ? ; 27,75 ? 
03.05.21; 9 771,00 ? ; 12 756,00 ? ; 16 061,00 ? ; 27,75 ? 
04.05.21; 9 789,00 ? ; 12 777,00 ? ; 16 047,00 ? ; 27,75 ? 
05.05.21; 9 801,00 ? ; 12 801,00 ? ; 16 033,00 ? ; 27,73 ? 
06.05.21; 9 806,00 ? ; 12 824,00 ? ; 16 020,00 ? ; 27,73 ? 
07.05.21; 9 805,00 ? ; 12 847,00 ? ; 16 007,00 ? ; 27,72 ? 
08.05.21; 9 794,00 ? ; 12 871,00 ? ; 15 989,00 ? ; 27,72 ? 
09.05.21;;;; 27,72 ? 
10.05.21; 9 776,00 ? ; 12 890,00 ? ; 15 973,00 ? ; 27,72 ? 
11.05.21; 9 752,00 ? ; 12 908,00 ? ; 15 955,00 ? ; 27,76 ? 
12.05.21; 9 720,00 ? ; 12 920,00 ? ; 15 932,00 ? ; 27,67 ? 
13.05.21; 9 684,00 ? ; 12 929,00 ? ; 15 907,00 ? ; 27,63 ? 
14.05.21; 9 644,00 ? ; 12 928,00 ? ; 15 880,00 ? ; 27,63 ? 
15.05.21; 9 601,00 ? ; 12 923,00 ? ; 15 851,00 ? ; 27,63 ? 
16.05.21; 9 554,00 ? ; 12 914,00 ? ; 15 820,00 ? ; 27,63 ? 
17.05.21; 9 506,00 ? ; 12 900,00 ? ; 15 787,00 ? ; 27,61 ? 
18.05.21; 9 458,00 ? ; 12 886,00 ? ; 15 751,00 ? ; 27,56 ? 
19.05.21; 9 409,00 ? ; 12 869,00 ? ; 15 714,00 ? ; 27,44 ? 
20.05.21; 9 361,00 ? ; 12 850,00 ? ; 15 677,00 ? ; 27,42 ? 
21.05.21; 9 312,00 ? ; 12 826,00 ? ; 15 639,00 ? ; 27,47 ? 
22.05.21; 9 266,00 ? ; 12 799,00 ? ; 15 603,00 ? ; 27,47 ? 
23.05.21; 9 224,00 ? ; 12 769,00 ? ; 15 569,00 ? ; 27,47 ? 
24.05.21; 9 186,00 ? ; 12 736,00 ? ; 15 544,00 ? ; 27,46 ? 
25.05.21; 9 152,00 ? ; 12 704,00 ? ; 15 520,00 ? ; 27,43 ? 
26.05.21; 9 121,00 ? ; 12 674,00 ? ; 15 502,00 ? ; 27,46 ? 
27.05.21; 9 094,00 ? ; 12 645,00 ? ; 15 490,00 ? ; 27,55 ? 
28.05.21; 9 070,00 ? ; 12 618,00 ? ; 15 486,00 ? ; 27,53 ? 
29.05.21; 9 051,00 ? ; 12 592,00 ? ; 15 488,00 ? ; 27,53 ? 
30.05.21; 9 035,00 ? ; 12 567,00 ? ; 15 499,00 ? ; 27,53 ? 
31.05.21; 9 023,00 ? ; 12 543,00 ? ; 15 514,00 ? ; 27,50 ? 
01.06.21; 9 014,00 ? ; 12 519,00 ? ; 15 533,00 ? ; 27,47 ? 
02.06.21; 9 007,00 ? ; 12 496,00 ? ; 15 555,00 ? ; 27,44 ? 
03.06.21; 9 002,00 ? ; 12 476,00 ? ; 15 580,00 ? ; 27,34 ? 
04.06.21; 9 001,00 ? ; 12 458,00 ? ; 15 605,00 ? ; 27,34 ? 
05.06.21; 9 005,00 ? ; 12 442,00 ? ; 15 631,00 ? ; 27,34 ? 
06.06.21; 9 011,00 ? ; 12 431,00 ? ; 15 659,00 ? ; 27,34 ? 
07.06.21; 9 019,00 ? ; 12 424,00 ? ; 15 685,00 ? ; 27,29 ? 
08.06.21; 9 029,00 ? ; 12 422,00 ? ; 15 707,00 ? ; 27,19 ? 
09.06.21; 9 041,00 ? ; 12 422,00 ? ; 15 730,00 ? ; 27,18 ? 
10.06.21; 9 056,00 ? ; 12 424,00 ? ; 15 755,00 ? ; 27,09 ? 
11.06.21; 9 073,00 ? ; 12 429,00 ? ; 15 781,00 ? ; 27,11 ? 
12.06.21; 9 092,00 ? ; 12 438,00 ? ; 15 810,00 ? ; 27,11 ? 
