Дата;Чисельність населення 
03.12.2016 0:00;2925761
04.12.2016 0:00;2925761
05.12.2016 0:00;2925761
06.12.2016 0:00;2925761
07.12.2016 0:00;2925761
08.12.2016 0:00;2925761
09.12.2016 0:00;2925761
10.12.2016 0:00;2925761
11.12.2016 0:00;2925761
12.12.2016 0:00;2925761
13.12.2016 0:00;2925761
14.12.2016 0:00;2925761
15.12.2016 0:00;2925761
16.12.2016 0:00;2925761
17.12.2016 0:00;2925761
18.12.2016 0:00;2925761
19.12.2016 0:00;2925761
20.12.2016 0:00;2925761
21.12.2016 0:00;2925761
22.12.2016 0:00;2925761
23.12.2016 0:00;2925761
24.12.2016 0:00;2925761
25.12.2016 0:00;2925761
26.12.2016 0:00;2925761
27.12.2016 0:00;2925761
28.12.2016 0:00;2925761
29.12.2016 0:00;2925761
30.12.2016 0:00;2925761
31.12.2016 0:00;2925761
01.01.2017 0:00;2925761
02.01.2017 0:00;2927227
03.01.2017 0:00;2927227
04.01.2017 0:00;2927227
05.01.2017 0:00;2927227
06.01.2017 0:00;2927227
07.01.2017 0:00;2927227
08.01.2017 0:00;2927227
09.01.2017 0:00;2927227
10.01.2017 0:00;2927227
11.01.2017 0:00;2927227
12.01.2017 0:00;2927227
13.01.2017 0:00;2927227
14.01.2017 0:00;2927227
15.01.2017 0:00;2927227
16.01.2017 0:00;2927227
17.01.2017 0:00;2927227
18.01.2017 0:00;2927227
19.01.2017 0:00;2927227
20.01.2017 0:00;2927227
21.01.2017 0:00;2927227
22.01.2017 0:00;2927227
23.01.2017 0:00;2927227
24.01.2017 0:00;2927227
25.01.2017 0:00;2927227
26.01.2017 0:00;2927227
27.01.2017 0:00;2927227
28.01.2017 0:00;2927227
29.01.2017 0:00;2927227
30.01.2017 0:00;2927227
31.01.2017 0:00;2927227
01.02.2017 0:00;2927227
02.02.2017 0:00;2928193
03.02.2017 0:00;2928193
04.02.2017 0:00;2928193
05.02.2017 0:00;2928193
06.02.2017 0:00;2928193
07.02.2017 0:00;2928193
08.02.2017 0:00;2928193
09.02.2017 0:00;2928193
10.02.2017 0:00;2928193
11.02.2017 0:00;2928193
12.02.2017 0:00;2928193
13.02.2017 0:00;2928193
14.02.2017 0:00;2928193
15.02.2017 0:00;2928193
16.02.2017 0:00;2928193
17.02.2017 0:00;2928193
