"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Кількість живонароджених","Київ","Місячна","2022-M02",""
"Кількість живонароджених","Київ","Місячна","2022-M03",""
"Кількість живонароджених","Київ","Місячна","2022-M04",""
"Кількість живонароджених","Київ","Місячна","2022-M05",""
"Кількість живонароджених","Київ","Місячна","2022-M06",""
"Кількість живонароджених","Київ","Місячна","2022-M07",""
"Кількість живонароджених","Київ","Місячна","2022-M08",""
"Кількість живонароджених","Київ","Місячна","2022-M09",""
"Кількість живонароджених","Київ","Місячна","2022-M10",""
"Кількість живонароджених","Київ","Місячна","2022-M11",""
"Кількість живонароджених","Київ","Місячна","2022-M12",""
"Коефіцієнт життєвості","Київ","Місячна","2005-M01","70"
"Коефіцієнт життєвості","Київ","Місячна","2005-M02","75"
"Коефіцієнт життєвості","Київ","Місячна","2005-M03","76"
"Коефіцієнт життєвості","Київ","Місячна","2005-M04","80"
"Коефіцієнт життєвості","Київ","Місячна","2005-M05","80"
"Коефіцієнт життєвості","Київ","Місячна","2005-M06","81"
"Коефіцієнт життєвості","Київ","Місячна","2005-M07","84"
"Коефіцієнт життєвості","Київ","Місячна","2005-M08","86"
"Коефіцієнт життєвості","Київ","Місячна","2005-M09","87"
"Коефіцієнт життєвості","Київ","Місячна","2005-M10","87"
"Коефіцієнт життєвості","Київ","Місячна","2005-M11","87"
"Коефіцієнт життєвості","Київ","Місячна","2005-M12","87"
"Коефіцієнт життєвості","Київ","Місячна","2006-M01","70"
"Коефіцієнт життєвості","Київ","Місячна","2006-M02","78"
"Коефіцієнт життєвості","Київ","Місячна","2006-M03","83"
"Коефіцієнт життєвості","Київ","Місячна","2006-M04","84"
"Коефіцієнт життєвості","Київ","Місячна","2006-M05","84"
"Коефіцієнт життєвості","Київ","Місячна","2006-M06","86"
"Коефіцієнт життєвості","Київ","Місячна","2006-M07","89"
"Коефіцієнт життєвості","Київ","Місячна","2006-M08","92"
"Коефіцієнт життєвості","Київ","Місячна","2006-M09","94"
"Коефіцієнт життєвості","Київ","Місячна","2006-M10","93"
"Коефіцієнт життєвості","Київ","Місячна","2006-M11","93"
"Коефіцієнт життєвості","Київ","Місячна","2006-M12","94"
"Коефіцієнт життєвості","Київ","Місячна","2007-M01","76"
"Коефіцієнт життєвості","Київ","Місячна","2007-M02","81"
"Коефіцієнт життєвості","Київ","Місячна","2007-M03","83"
